SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
521018,MARAL OVERS ,B ,Q,14.22,14.42,12.16,13.98,13.98,14.00,22,1526,21126.00,,INE882A01013,30-Oct-20,,
521034,SOMA TEXTILE,T ,Q,3.15,3.15,3.15,3.15,3.15,3.15,3,109,343.00,,INE314C01013,30-Oct-20,,
521054,KAKATIYA TEX,XT,Q,1.10,1.10,1.10,1.10,1.10,1.15,1,200,220.00,,INE092E01011,30-Oct-20,,
521064,TRIDENT     ,A ,Q,7.45,7.50,7.12,7.31,7.31,7.45,19519,2064284,15077457.00,,INE064C01022,30-Oct-20,,
521070,ALOK INDS.  ,B ,Q,21.55,22.25,21.30,21.80,21.80,21.40,2899,1625819,35243244.00,,INE270A01029,30-Oct-20,,
521080,PASARI SPIN ,XT,Q,2.32,2.32,2.32,2.32,2.32,2.22,7,1984,4602.00,,INE604F01010,30-Oct-20,,
521082,SPENTEX INDS,Z ,Q,0.56,0.60,0.56,0.58,0.58,0.58,4,2210,1237.00,,INE376C01020,30-Oct-20,,
521097,AMARJOTHI SP,X ,Q,56.15,64.50,56.15,61.25,61.25,55.95,382,49576,3066624.00,,INE484D01012,30-Oct-20,,
521105,OLYMPIA IND.,X ,Q,10.71,10.71,10.00,10.00,10.00,10.20,2,21,224.00,,INE482O01021,30-Oct-20,,
521109,NAGREEKA EXP,B ,Q,12.85,13.00,12.85,13.00,13.00,12.89,2,23,298.00,,INE123B01028,30-Oct-20,,
521131,SBFL        ,X ,Q,3.72,3.72,3.72,3.72,3.72,3.55,4,453,1685.00,,INE363D01018,30-Oct-20,,
521141,ADITYA SPIN.,XT,Q,6.08,6.72,6.08,6.72,6.72,6.40,4,139,857.00,,INE122D01026,30-Oct-20,,
521163,ZODIAC CLOTH,B ,Q,93.00,101.00,93.00,97.55,97.55,96.55,93,7917,767674.00,,INE206B01013,30-Oct-20,,
521167,FRONT BUSS  ,Z ,Q,1.65,1.65,1.65,1.65,1.65,1.73,4,161,265.00,,INE485D01035,30-Oct-20,,
521180,SUPER SPIN. ,B ,Q,3.57,3.57,3.29,3.40,3.40,3.40,10,778,2594.00,,INE662A01027,30-Oct-20,,
521188,UNITED TEXT.,XT,Q,4.66,4.66,4.43,4.65,4.65,4.66,7,946,4196.00,,INE727E01012,30-Oct-20,,
521194,SIL INVEST  ,B ,Q,132.50,132.50,132.50,132.50,132.50,134.20,1,1,132.00,,INE923A01015,30-Oct-20,,
521206,SAMTEX FASH.,XT,Q,0.57,0.57,0.57,0.57,0.57,0.57,5,647,368.00,,INE931D01020,30-Oct-20,,
521210,CITYMAN     ,XT,Q,3.80,3.80,3.80,3.80,3.80,3.73,1,1,3.00,,INE117C01010,30-Oct-20,,
521216,DHAN ROTO SP,X ,Q,19.00,19.00,17.15,18.15,18.20,18.75,16,223,3948.00,,INE220C01012,30-Oct-20,,
521220,DAMOINDUS   ,B ,Q,23.00,23.00,23.00,23.00,23.00,23.00,1,28,644.00,,INE497D01022,30-Oct-20,,
521222,SANBLUE     ,XT,Q,20.03,20.03,19.50,19.52,20.03,19.08,9,927,18514.00,,INE602D01027,30-Oct-20,,
521228,TATIA GLOB  ,X ,Q,0.25,0.25,0.25,0.25,0.25,0.25,3,303,75.00,,INE083G01031,30-Oct-20,,
521232,SUNIL INDUS.,P ,Q,13.70,15.10,13.70,15.10,15.10,14.40,2,200,2880.00,,INE124M01015,30-Oct-20,,
521240,SAMBANDAM SP,X ,Q,52.00,54.00,50.00,50.00,50.00,50.00,14,628,32725.00,,INE304D01012,30-Oct-20,,
521248,KITEX GARMEN,B ,Q,101.90,102.25,100.15,100.65,101.25,100.80,128,4682,472273.00,,INE602G01020,30-Oct-20,,
522004,BATLIBOI LTD,X ,Q,7.84,8.00,7.84,8.00,8.00,7.92,6,493,3943.00,,INE177C01022,30-Oct-20,,
522005,AUSTIN ENGG.,X ,Q,34.90,34.90,34.90,34.90,34.90,34.95,1,2,69.00,,INE759F01012,30-Oct-20,,
522014,UNITED DRILL,B ,Q,250.05,260.00,241.00,251.85,252.95,248.15,394,2290,568952.00,,INE961D01019,30-Oct-20,,
522017,FLUIDOMAT   ,X ,Q,81.05,81.05,72.75,73.40,73.00,75.85,12,445,33710.00,,INE459C01016,30-Oct-20,,
522029,WINDSOR MACH,B ,Q,12.90,13.54,12.90,12.99,13.50,12.90,21,1838,23889.00,,INE052A01021,30-Oct-20,,
522034,SHANTHI GEAR,B ,Q,102.05,102.50,100.90,101.40,101.30,100.65,214,2706,275673.00,,INE631A01022,30-Oct-20,,
522036,MIVEN MACHIN,X ,Q,4.06,4.06,4.06,4.06,4.06,4.25,2,100,406.00,,INE338P01014,30-Oct-20,,
522064,HONDAPOWER  ,B ,Q,989.70,989.70,984.00,984.10,989.00,983.85,20,109,107316.00,,INE634A01018,30-Oct-20,,
522073,HITECHGEAR  ,B ,Q,101.10,105.00,101.10,105.00,105.00,103.35,8,187,18925.00,,INE127B01011,30-Oct-20,,
522074,ELGI EQUIP  ,B ,Q,106.45,106.50,104.00,104.15,104.25,104.55,171,1970,206048.00,,INE285A01027,30-Oct-20,,
522091,UV DER HORST,X ,Q,15.50,15.50,15.50,15.50,15.50,15.45,2,202,3131.00,,INE890G01013,30-Oct-20,,
522101,KILBURN ENGG,X ,Q,16.75,17.60,16.25,16.75,16.25,16.70,17,1555,26450.00,,INE338F01015,30-Oct-20,,
522105,BIRLA PRETEC,X ,Q,5.00,5.45,5.00,5.28,5.45,5.13,23,2655,13811.00,,INE372E01025,30-Oct-20,,
522108,YUKEN INDIA ,X ,Q,449.00,460.00,434.00,451.25,459.95,441.90,141,8997,4021691.00,,INE384C01016,30-Oct-20,,
522113,TIMKEN (I)  ,A ,Q,1082.05,1082.05,1053.50,1077.50,1082.00,1069.50,275,686,732730.00,,INE325A01013,30-Oct-20,,
522122,VOITH PAPER ,X ,Q,994.00,1001.80,986.00,990.00,990.00,994.10,27,342,338771.00,,INE285C01015,30-Oct-20,,
522134,ARTSON ENG  ,X ,Q,27.20,27.20,25.00,25.25,25.20,26.25,43,4676,118826.00,,INE133D01023,30-Oct-20,,
522152,SOLITAIR MC ,X ,Q,20.75,20.75,19.25,19.25,19.25,19.50,3,205,3953.00,,INE410A01013,30-Oct-20,,
522163,DIAMONPOWER ,Z ,Q,0.69,0.69,0.69,0.69,0.69,0.66,4,736,507.00,,INE989C01012,30-Oct-20,,
522165,INDSIL HYD  ,XT,Q,11.50,11.98,10.95,11.14,11.20,11.41,92,1974,22293.00,,INE867D01018,30-Oct-20,,
522183,ITL INDUSTRS,X ,Q,62.05,63.70,61.70,63.40,63.70,62.05,10,744,46962.00,,INE478D01014,30-Oct-20,,
522195,FRONTIER SPR,X ,Q,303.05,313.85,301.00,303.15,307.00,300.85,157,6241,1907158.00,,INE572D01014,30-Oct-20,,
522205,PRAJ IND.LTD,B ,Q,78.90,78.90,76.25,76.75,77.05,77.90,464,29565,2291935.00,,INE074A01025,30-Oct-20,,
522207,RASANDIK ENG,X ,Q,52.60,52.60,50.80,50.95,51.00,50.10,3,8,414.00,,INE682D01011,30-Oct-20,,
522209,YOGI SUNGWON,XT,Q,3.20,3.20,3.04,3.04,3.04,3.20,4,1251,3811.00,,INE429B01011,30-Oct-20,,
522215,HLEGLAS     ,X ,Q,1439.95,1439.95,1362.05,1381.90,1382.00,1398.85,520,4203,5830114.00,,INE461D01010,30-Oct-20,,
522217,GUJ APOIND  ,B ,Q,214.45,215.25,205.30,210.20,208.35,218.45,213,1661,348668.00,,INE826C01016,30-Oct-20,,
522229,TANEJA AERO.,X ,Q,27.00,28.30,26.80,27.85,28.10,26.80,43,3279,90244.00,,INE692C01020,30-Oct-20,,
522231,CONART ENG. ,X ,Q,22.10,22.10,20.10,20.30,20.20,20.20,18,909,18899.00,,INE714D01012,30-Oct-20,,
522241,M.M.FORGINGS,B ,Q,314.05,317.15,301.00,306.70,308.05,310.70,216,2284,699914.00,,INE227C01017,30-Oct-20,,
522249,MAYUR UNIQ. ,B ,Q,235.95,246.00,233.75,242.70,244.35,235.05,213,2607,624941.00,,INE040D01038,30-Oct-20,,
522251,CENLUB INDUS,X ,Q,33.05,35.30,31.35,35.30,35.30,32.75,8,774,25192.00,,INE627F01011,30-Oct-20,,
522257,RAJOO ENGIN.,X ,Q,9.06,9.60,9.00,9.32,9.40,9.05,44,15820,145698.00,,INE535F01024,30-Oct-20,,
522263,JMC PROJECTS,B ,Q,47.70,48.35,46.40,46.85,46.90,47.75,190,10003,471447.00,,INE890A01024,30-Oct-20,,
522275,GET&D       ,A ,Q,82.50,82.55,80.60,80.75,81.15,82.00,57,1309,106614.00,,INE200A01026,30-Oct-20,,
522281,RAM RAT.WIRE,X ,Q,74.90,74.90,70.50,70.75,70.75,73.25,57,5709,407806.00,,INE207E01023,30-Oct-20,,
